onth	Pb	Cd	Fe	Cu	Zn	pH	Temp.	Turb.	TSS	Cond.	TDS
Oct.	23.10	4.33	6.63	0.02	0.17	1.19	1.19	2.56	5.86	1.25	6.71
Nov.	93.20	10.67	6.05	0.03	0.18	1.10	1.19	2.45	6.00	1.27	6.41
Dec.	104.10	13.67	6.77	0.04	0.16	1.15	1.19	2.39	5.95	1.28	6.42
WQI	20.33										
Nemerow’s pollution index (NPI) for point A											
Jan.	5.20	3.33	2.24	0.00	0.11	0.97	1.17	1.89	0.24	0.14	4.25
Feb.	4.10	3.33	2.45	0.01	0.10	1.04	1.14	2.13	0.21	0.14	3.68
Mar.	10.30	3.33	2.40	0.01	0.11	1.03	1.17	1.37	0.23	0.12	3.04
April	6.20	3.33	2.56	0.01	0.15	1.02	1.15	2.08	0.26	0.15	2.05
May	5.10	3.33	2.39	0.01	0.13	1.04	1.15	1.95	0.25	0.17	2.00
June	3.20	3.33	2.24	0.06	0.13	1.03	1.17	1.97	0.21	0.14	2.82
July	3.10	3.33	2.28	0.02	0.11	0.99	1.17	1.91	0.23	0.16	3.43
Aug.	2.10	3.33	2.61	0.02	0.11	1.00	1.17	1.41	0.21	0.18	4.20
Sept.	2.20	3.67	2.44	0.01	0.15	0.97	1.15	1.40	0.25	0.13	3.74
Oct.	3.60	3.33	2.56	0.01	0.13	1.04	1.17	1.79	0.22	0.15	2.59
Nov.	5.60	3.67	2.37	0.02	0.13	1.06	1.17	1.63	0.25	0.12	2.65
Dec.	4.20	4.33	2.31	0.06	0.13	1.05	1.17	1.76	0.22	0.13	2.41
WQI	55.05										
Nemerow’s pollution index (NPI) for point B											
Jan.	5.20	10.67	3.41	0.01	0.21	1.20	1.18	5.13	1.20	0.21	6.02
Feb.	4.10	67.00	3.17	0.01	0.25	1.17	1.18	3.49	1.46	0.23	6.50
Mar.	10.30	34.33	3.61	0.01	0.20	1.24	1.19	5.73	1.17	0.23	6.82
April	6.20	34.00	2.94	0.02	0.20	1.17	1.18	5.93	1.55	0.24	6.24
May	5.10	68.33	3.06	0.02	0.21	1.22	1.18	5.77	1.40	0.27	6.22
June	3.20	10.67	2.52	0.02	0.25	1.17	1.19	4.28	1.35	0.26	6.11
July	3.10	10.33	2.58	0.01	0.35	1.24	1.18	5.77	1.25	0.25	6.02
Aug.	2.10	7.00	3.43	0.01	0.35	1.19	1.18	5.49	1.09	0.28	6.33
Sept.	2.20	4.00	3.36	0.01	0.16	1.13	1.18	4.60	1.25	0.27	6.60
Oct.	3.60	12.00	3.44	0.02	0.18	1.11	1.18	4.85	1.31	0.28	6.44
Nov.	5.60	18.67	3.53	0.02	0.19	1.25	1.18	4.43	1.33	0.24	6.22
Dec.	4.20	14.00	3.67	0.03	0.11	1.27	1.18	4.09	1.47	0.25	6.31
WQI	30.81										
Nemerow’s pollution index (NPI) for point C											
Jan.	0.00	40.33	0.08	0.00	0.21	1.22	1.18	2.40	0.35	0.21	6.22
Feb.	0.00	43.33	0.27	0.00	0.20	1.22	1.19	2.16	0.19	0.18	6.10
Mar.	0.00	30.67	0.27	0.00	0.18	1.27	1.17	2.27	0.24	0.20	6.32
April	0.00	43.33	0.29	0.00	0.15	1.28	1.18	2.24	0.46	0.20	6.01
May	0.00	47.00	0.18	0.00	0.15	1.26	1.20	2.41	0.37	0.19	6.42
June	0.00	57.00	0.18	0.01	0.17	1.19	1.18	1.71	0.21	0.19	6.21
July	0.00	36.67	0.21	0.00	0.16	1.27	1.18	1.63	0.20	0.21	6.30
Aug.	0.00	31.67	0.15	0.00	0.13	1.17	1.18	2.40	0.29	0.21	6.24
Sept.	0.00	26.00	0.17	0.01	0.16	1.15	1.18	2.27	0.22	0.20	6.13
Oct.	0.00	25.33	0.18	0.00	0.19	1.24	1.18	2.19	0.21	0.18	6.33
Nov.	0.00	40.33	0.12	0.00	0.17	1.22	1.17	2.24	0.20	0.19	6.20
Dec.	0.00	44.00	0.17	0.00	0.19	1.23	1.18	2.07	0.23	0.19	6.62
WQI	56.81										
Nemerow’s pollution index (NPI) for Fen 3											
Jan.	12.90	20.67	5.53	0.03	0.12	1.07	1.19	4.85	4.05	0.32	6.02
Feb.	12.40	13.67	6.04	0.05	0.10	1.06	1.18	4.19	4.18	0.31	7.04
Mar	13.10	14.00	5.56	0.03	0.09	1.12	1.18	2.40	5.85	0.32	6.23
April	12.20	11.67	5.49	0.02	0.10	1.13	1.19	4.67	3.30	0.37	6.80
May	10.20	18.00	5.50	0.03	0.15	1.05	1.20	4.20	4.02	0.34	7.40
June	8.10	19.67	6.02	0.03	0.13	1.06	1.17	4.08	4.08	0.31	6.64
July	8.80	15.33	5.51	0.04	0.11	1.07	1.18	4.19	4.26	0.37	6.41
Aug.	8.20	20.67	5.87	0.03	0.12	1.05	1.17	4.35	4.82	0.32	6.60
Sept.	12.10	21.00	5.62	0.03	0.16	1.01	1.18	4.15	4.26	0.30	6.24
Oct.	12.00	18.00	5.53	0.03	0.12	1.03	1.19	4.20	2.30	0.35	7.23
Nov.	11.00	21.00	5.53	0.03	0.12	1.11	1.18	4.13	3.16	0.37	6.02
Dec.	12.10	14.33	5.58	0.03	0.15	1.10	1.20	4.13	2.04	0.31	6.18
WQI	26.57										
